id,primary_name,primary_category,alternate_categories,source_datasets,original_lon,original_lat,truth_lat,truth_lon,notes,offset_meters,structural_category,source_group
08f2a107289810f60383b811cc101437,"A.E.C. CONSULTING & EXPEDITING, INC.",engineering_services,['architect'],Microsoft,-74.0096527,40.7118667,40.71194631563153,-74.00956090669165,,11.757209340303628,Standalone,Microsoft Only
08f2656722980596039857f5c7c1ddfa,Clarks Motel,hotel,['motel' 'accommodation'],meta,-94.6494782,39.0495542,39.04959291466311,-94.64953355822873,,6.433060428488969,Standalone,Meta Only
08f2aa8c7626894b035c8e09f81ccc3f,Don Tigre Mexican Cuisine Bar - Locust Point,mexican_restaurant,['eat_and_drink'],Microsoft|meta,-76.6006455,39.2715289,39.27163025545208,-76.60090856380143,,25.294598050464867,Standalone,Both
08f2a1055c271aea032bffcbd24fcc4b,Kitchen Fair,home_improvement_store,['shopping' 'restaurant'],meta,-74.141723,40.9500947,40.950159841341126,-74.1415054098855,,19.65715469282617,Standalone,Meta Only
08f2a98ba908c89403ed8847c6c2854b,Rc's Country Store & Fillin' Station,convenience_store,['gas_station' 'flowers_and_gifts_shop'],meta,-82.1671691,37.619687,37.619607723292226,-82.16768583612371,,46.357544271225905,Standalone,Meta Only
08f2a3361b34453303f40ff4ed3b9e6b,Fish Connection,hunting_and_fishing_supplies,['active_life' 'outdoor_gear'],meta,-72.0647736,41.4758974,41.4758974,-72.0647736,Entrance,0.0,Standalone,Meta Only
08f2aae16aaae71403352f18ee18d46d,MAR BAR TIRE SERVICE INC,tire_shop,['automotive' 'retail'],Microsoft,-77.09127050656787,39.802155968849696,39.8027619249924,-77.09092458258718,,73.57460543682843,Standalone,Microsoft Only
08f260e253aa5cf1035e0fb535525c7d,Holiday Inn Express & Suites Omaha-Southwest,hotel,['travel'],Microsoft|meta,-96.08033,41.214238,41.21403198280735,-96.08066005356304,,35.87442334839215,Standalone,Both
08f29124cb25b61203735df89b69e4e2,US Navy Enlisted Recruiting,employment_agencies,['government_services'],Microsoft,-119.1791746,34.2270494,34.227054164389145,-119.17905476267964,Inside US Army Recruitment Center,11.030290622184534,Standalone,Microsoft Only
08f2a10755d0da1c03155a1195004543,Kung Fu Tea,bubble_tea,['restaurant' 'fast_food_restaurant'],meta,-74.0266653,40.6208711,40.62082997105552,-74.02666303933796,,4.5773084049083534,Standalone,Meta Only
08f2a88c18ac486303d2d8df15029c9c,Kroger,supermarket,['grocery_store' 'pharmacy'],Microsoft|meta,-79.2948345,37.3642811,37.36452748793427,-79.2949217024923,,28.460381976304635,Standalone,Both
08f2a8b4c25012550374f1c345937cc5,M Creative,graphic_designer,['business_advertising' 'professional_services'],meta,-80.2461138,36.1009441,36.100962136700986,-80.2460996587559,,2.374141843208489,Standalone,Meta Only
08f26c865814959b036eb5dec0dc2d7c,8500 North Stemmons Home Base,event_planning,['real_estate' 'community_services_non_profits'],meta,-96.871707,32.8280489,32.82790635508057,-96.87171406220794,,15.864001745662376,Standalone,Meta Only
08f44eb6a876615d03149a9ffcf3d74b,Dollar General,discount_store,['arts_and_crafts'],meta,-85.7978632,34.5629341,34.562919464110486,-85.79799932838625,,12.57098687904269,Standalone,Meta Only
08f29a56ab08acd003403a723d19d4f9,Hawk Importers,professional_services,['business' 'building_supply_store'],meta,-118.1654016,33.8749788,33.8749788,-118.1654016,Accurate,0.0,Standalone,Meta Only
08f29a0993723d0e03090c0c32eb0cb2,"The Grossman Law Firm, APC",wills_trusts_and_probate,['estate_planning_law'],Microsoft,-117.1663171,33.521049,33.520948043262244,-117.16648201846112,Part of big building,18.96703441005185,Standalone,Microsoft Only
08f2659b598ec82503a358affd0ee02e,Robert Half,employment_agencies,['business' 'professional_services'],meta,-89.8381734,35.0987024,35.0987024,-89.8381734,Part of big building,0.0,Standalone,Meta Only
08f26de6a02c967003fecdb22a4db690,Red Roof,hotel,['travel' 'transportation'],meta,-101.8459139,33.5321521,33.5321521,-101.8459139,Accurate,0.0,Standalone,Meta Only
08f275d769b29a6903bf058fddfc4235,Khanya Corporation,marketing_agency,['professional_services'],meta,-87.9406562,43.0422493,43.04215117104219,-87.94063786643183,,11.01269327857528,Standalone,Meta Only
08f488b6d30e88920318f8e37351abfd,C DUBBS Remodeling,home_improvement_store,['contractor'],meta,-101.4557177,32.2435055,32.24345459323772,-101.45562042458988,,10.75811908174229,Standalone,Meta Only
08f29b6d336d57330305e311d56e3d68,Zazu Pannee Park Regent,accommodation,['real_estate' 'landmark_and_historical_building'],meta,-112.049418,33.487662,33.48763263531402,-112.0493780517596,,4.938242783676488,Standalone,Meta Only
08f2ad035aaf4ac2039c484e6d8e16ee,Guidry Coastal Architecture,architectural_designer,['engineering_services' 'real_estate_agent'],meta,-77.8568363,34.1893241,34.18929344983329,-77.85688846134013,,5.885043429498493,Standalone,Meta Only
08f44a18d80a496c0370558e3a242b92,Ventura Business Solutions,professional_services,['event_photography'],meta,-80.2547239,25.76228,25.76231069405408,-80.25489200876366,,17.177352963980603,Standalone,Meta Only
08f274b0f0253ab303331772eb1801d6,Subway,sandwich_shop,['restaurant' 'fast_food_restaurant'],Microsoft|meta,-85.9705754,41.6584277,41.658473295724384,-85.97050010153863,,8.052095949395145,Standalone,Both
08f44a139437335103e06a38aec56a5e,Hoffer Pest Solutions,pest_control_service,,Microsoft,-80.1192,26.137763,26.137871580282944,-80.1192,,12.073576596989763,Standalone,Microsoft Only
08f2a100cac0e4f1033abefc7d8474da,McDonald's,fast_food_restaurant,['burger_restaurant' 'restaurant'],Microsoft|meta,-73.8976528,40.6776008,40.6776056208898,-73.89760693066297,,3.9050845452632528,Standalone,Both
08f28f0334176af50374635d3a065495,A&T Resale,thrift_store,['shopping' 'home_and_garden'],meta,-122.9943018,45.596204,45.59627673338491,-122.99439045521356,,10.629579716922724,Standalone,Meta Only
08f44d82898c2d1e032594cbf34cbeb1,The Drug Store Vale,pharmacy,['medical_supply' 'shopping'],meta,-81.4802819,35.5682452,35.56807697262841,-81.48050715566735,,27.658962389456978,Standalone,Meta Only
08f444112656304303fa03198aedec5f,Motel 6 Alexandria,hotel,['motel' 'insurance_agency'],Microsoft|meta,-92.4785814,31.2940962,31.294093830323405,-92.47862048416194,,3.723013176864413,Standalone,Both
08f274da5a31e0c403e9d27d16968c33,Autoliv Americas,professional_services,['automotive_parts_and_accessories'],meta,-83.2742785,42.6944394,42.69495492813462,-83.27391061638387,,64.7301489421362,Standalone,Meta Only
08f29a56ce2e96e1033dbdf3c9f9851a,Sam's Watermelons,grocery_store,['fruits_and_vegetables' 'fast_food_restaurant'],meta,-118.3004849,33.9825335,33.98253191575294,-118.30040876894788,,7.021776586878623,Standalone,Meta Only
08f29a578bda4450037d7222e42f4da1,Jordanah,event_planning,['business_advertising' 'advertising_agency'],Microsoft|meta,-118.1321789,33.7589515,33.7589515,-118.1321789,Accurate,0.0,Standalone,Both
08f262808a182014037ee27b008cff1a,Forest City Inn,hotel,['accommodation' 'motel'],meta,-93.6366474,43.2462063,43.24608603316123,-93.63649916612984,,17.971985126858677,Standalone,Meta Only
08f2aa845eb8520103a7f17fd1fc691f,Bloomingdale Wine and Spirits,liquor_store,['bar'],meta,-77.0123595,38.915465,38.91542249714226,-77.01229957026192,,7.015710516565095,Standalone,Meta Only
08f2b8e6a104c82d03642c26879a2511,T R Jetty Funeral Home Inc,funeral_services_and_cemeteries,['public_service_and_government'],meta,-76.0864194,44.238381,44.23841468133093,-76.08645750926452,,4.821159491439525,Standalone,Meta Only
08f2ab31ad9098c00350623fdcc1f6e6,Mi Bella Casa Furniture,furniture_store,['mattress_store' 'shopping'],meta,-82.0068383,41.3925935,41.3927305645838,-82.00678272516308,,15.930365750933564,Standalone,Meta Only
08f44ccd946068d803169fdd034b2789,La Pequena Food Mart,supermarket,['grocery_store' 'convenience_store'],meta,-84.55702,33.9369407,33.936978649838295,-84.55706343881234,,5.819445533144614,Standalone,Meta Only
08f2a14a83b9a28a0372332d87fe17d4,Delmar Products,professional_services,['shopping'],meta,-72.7501828,41.6417356,41.64144818708631,-72.7501828,,31.95885785357366,Standalone,Meta Only
08f264930874b80a03c3903fe19da3b0,Rugged Portable Computers LLC,it_consultant,['it_service_and_computer_repair' 'computer_hardware_company'],Microsoft|meta,-86.7808780785262,34.67242691543611,34.67163090319872,-86.78324538988565,far away,233.88410264510551,Standalone,Both
08f28308c5c1359803c784f80ec0f24f,Soulfully Dope Kitchen and Catering,caterer,['diner'],meta,-122.369342,37.9283569,37.928356354430015,-122.36928894059568,,4.654147165796697,Standalone,Meta Only
08f2832ab4703752037ff18aada0852a,Denio's Roseville Farmers Market & Swap Meet,farmers_market,['flea_market' 'shopping'],meta,-121.3057713,38.7438066,38.74379617339135,-121.30459392792872,,102.11620811883968,Large Area,Meta Only
08f2659b08855a7503594e72bf627c4c,Yale Tire and Auto Tech,tire_shop,['retail'],Microsoft,-89.9271509,35.2208683,35.22088177822119,-89.92748888174413,,30.73848432286706,Standalone,Microsoft Only
08f264a86a6534b0038003a5f844d012,Finish Line,shoe_store,['sports_wear' 'clothing_store'],Microsoft|meta,-88.8306536,35.6572467,35.65670680242644,-88.82905015574795,Closest entrance,156.81492688516116,Mall or Nested,Both
08f29a1dabb5cceb03d1373418c436fb,Docnak Photography,professional_services,,meta,-118.0159113,34.1184416,34.1184416,-118.0159113,Accurate,0.0,Standalone,Meta Only
08f26cb91ed10d0503124c1f695e4345,South Dallas Community Market,grocery_store,['community_services_non_profits' 'supermarket'],meta,-96.7531314,32.7503413,32.75048964739549,-96.7532330332353,,19.03782082182944,Standalone,Meta Only
08f2696148324c1303a942ec1dc12a18,Memos Fruits,eat_and_drink,['restaurant' 'specialty_grocery_store'],meta,-111.9398212,40.7465874,40.746920660199386,-111.9405886511177,,74.51839437093601,Standalone,Meta Only
08f29b6d06c5459d0366de766faa0a5e,Blade Editorial Inc,professional_services,['event_photography' 'broadcasting_media_production'],meta,-112.0734938,33.4837069,33.48344137831128,-112.0730728809923,,48.94451415828871,Standalone,Meta Only
08f444d68e8e0c09032deb7ed8091c7f,Amigo Juan,mexican_restaurant,['restaurant' 'cafe'],meta,-94.0661089,33.467471,33.467471,-94.0661089,Maybe Old,0.0,Standalone,Meta Only
08f2a8ba966e45ab03c0f6e2181f87a6,Burlington Outlet Village,shopping_center,['landmark_and_historical_building' 'fountain'],meta,-79.4358,36.0669,36.06953228188356,-79.43378876502707,Main entrance into Plaza,344.01949187944007,Mall or Nested,Meta Only
08f29a1d2e4258db03b7c4087eb8f2a9,Nora Lighting,lighting_store,['commercial_industrial'],Microsoft|meta,-118.1371671,34.0008164,34.000732074746104,-118.13742478572205,,25.53810827866305,Standalone,Both
08f2a100eb3b6a58036b1408e30d72b1,Ace Staffing Agency,professional_services,['employment_agencies' 'public_service_and_government'],meta,-73.8213263,40.6869167,40.686896342571366,-73.82134985032017,,3.0111587578538868,Standalone,Meta Only
08f4455465c0d06e03aebe30a5ea43be,Beachview Vacation Cottages of the Mississippi Gulf Coast,hotel,['holiday_rental_home' 'cottage'],meta,-89.0319032,30.3835863,30.384193797410433,-89.03180108212234,Main Access,68.25714935383081,Standalone,Meta Only
08f2ab251166172503fd7ee6925ae721,Busch's Fresh Food Market,international_grocery_store,['supermarket' 'retail'],Microsoft,-83.4853147,42.3061464,42.306270883637275,-83.48578345317335,,40.957852097240036,Standalone,Microsoft Only
08f139a52202a45d03d36833612926cb,Pybus Point Lodge,lodge,['resort' 'accommodation'],meta,-134.1342328,57.3058691,57.30585812954054,-134.13423041787826,On Island,1.2282213870623016,Standalone,Meta Only
08f2aa1154a2d611034a6bafc24aa955,Indies,bar,['beer_garden' 'pub'],meta,-76.559231,40.788972,40.78893879865477,-76.559231,,3.6918211477561247,Standalone,Meta Only
08f2ab2d82bb295e031c0e74eeede8ae,Pizza Hut Express,pizza_restaurant,['restaurant' 'fast_food_restaurant'],Microsoft|meta,-83.2933189,42.6036334,42.60392272460285,-83.29343829401694,Inside target,33.622754430051934,Mall or Nested,Both
08f44da876976af303393dfd2f3fb439,The Honey Baked Ham Company,restaurant,['sandwich_shop' 'caterer'],Microsoft|meta,-80.5795904,35.0236581,35.023634812670295,-80.57939720785691,,17.78147996154967,Standalone,Both
08f2659a0cc6590803dd941c90df1da4,FairBridge Inn Express Memphis,hotel,['accommodation'],meta,-89.9663657,35.0912225,35.09129364962038,-89.96630318493096,,9.743882042095477,Standalone,Meta Only
08f2a92571072446034e488e8ffa7355,Taco Bell,fast_food_restaurant,['mexican_restaurant' 'restaurant'],Microsoft|meta,-85.7105517,40.1012193,40.10121837827355,-85.7105935162739,,3.558111750180463,Standalone,Both
08f29a1d4c171cc603bebdd37dd9b4c2,UPS Access Point location,courier_and_delivery_services,['shipping_center'],Microsoft,-118.3212941,34.1201493,34.120046080314445,-118.32143230677131,,17.1346319008465,Standalone,Microsoft Only
08f489aa2d07686503f81f7bf04af9a6,Insta Ramen,restaurant,['diner'],meta,-97.7384345,31.0806992,31.0806992,-97.7384345,Accurate,0.0,Standalone,Meta Only
08f2ad37a14343850391dd40081f8e9f,La Taqueria,mexican_restaurant,['restaurant' 'texmex_restaurant'],meta,-79.0216397,33.5810797,33.58099369521542,-79.02158498735068,,10.823375165304,Standalone,Meta Only
08f275d29d245681034cfc53318aa7de,Cubanitas Oak Creek,cuban_restaurant,['restaurant' 'eat_and_drink'],Microsoft|meta,-87.9179407,42.899806,42.89992948144125,-87.91784832606079,,15.6570302721005,Standalone,Both
08f29b6d5d352755036ac504152622eb,Tempus West Valley Realty,videographer,['real_estate_agent' 'real_estate_service'],Microsoft,-112.27886708465576,33.63854444930663,33.638485699466095,-112.27913274424463,,25.44633761473954,Standalone,Microsoft Only
08f260d87291a36303e6c8529d091026,MACLYN DSM,advertising_agency,,Microsoft,-93.6305671,41.5866558,41.58575816503603,-93.63038311071163,,100.97863212389323,Standalone,Microsoft Only
08f262cac8b6eb1e0391227e7055806f,Tilly's American Travelers RV Park,rv_park,['campground' 'bar'],meta,-92.5343629,44.153446,44.15288688350256,-92.5336666396509,,83.37132018441979,Large Area,Meta Only
08f44438aab12ab603d0468da22e9a5e,CubeSmart Self Storage,self_storage_facility,['storage_facility'],Microsoft|meta,-91.3462035,31.5639683,31.564998664002356,-91.34625714765586,,114.6839393129207,Standalone,Both
08f2aa80214d98ae03e4bdcff9f59a06,Joss Café,sushi_restaurant,['japanese_restaurant' 'cafe'],meta,-76.4909511,38.9779122,38.97796633841696,-76.4909511,,6.01991730262208,Standalone,Meta Only
08f2ab3850aca311032a958e700a41e6,Chuck Brown II Bail Bonds,bail_bonds_service,['financial_service' 'professional_services'],meta,-81.5647179,41.4589502,41.45893293179596,-81.56463328812698,,7.307722305662435,Standalone,Meta Only
08f29a109291a22203ed0bdb701120bc,Starbucks,coffee_shop,['cafe' 'american_restaurant'],Microsoft|meta,-118.1841834,34.6032754,34.60315702986284,-118.18440804281884,,24.41258427900158,Standalone,Both
08f265b48c6ea6d803c7d68182ab94f8,Nabholz,construction_services,['contractor' 'professional_services'],meta,-92.3908894,34.7375866,34.737657542611714,-92.3910051350645,,13.193507308351556,Standalone,Meta Only
08f2aa8d1dc436ac03ab8fa08d441cc3,A & A Hearing Group,hearing_aids,['medical_supply' 'retail'],Microsoft,-76.62215424,39.43168259,39.4318710683958,-76.62179007841037,,37.64861296612053,Standalone,Microsoft Only
08f44d071b58a00403e9419f27fabdf5,Waters Edge Shem Creek,bar,['restaurant' 'sushi_restaurant'],meta,-79.881891,32.7926738,32.792785244349794,-79.8819958796682,,15.801033128441116,Standalone,Meta Only
08f44c42e312cac103267191aa401ab4,Perfect Equipment Company,professional_services,['logging_services' 'agriculture'],meta,-83.69752,32.32576,32.32922245214229,-83.70158119527439,,542.0722159882904,Standalone,Meta Only
08f4891835a70b4103fe4690ab6900aa,Mcconnell State Prison,accommodation,['religious_organization' 'church_cathedral'],meta,-97.7198516,28.3732004,28.37300704615633,-97.71950916156923,,39.80848943319494,Large Area,Meta Only
08f2a10046b45c73034fe2d3c453591b,Phoenix Building Products,building_supply_store,['professional_services'],Microsoft|meta,-73.6725282,40.7475213,40.747826109318225,-73.67270443992824,,37.00231385124522,Standalone,Both
08f264620c6d462503efe86fc222ba15,Bellerive Gardens Cemetery,funeral_services_and_cemeteries,['public_service_and_government' 'professional_services'],meta,-90.4697333,38.6666521,38.66683622140858,-90.47022039732464,,46.98505041202037,Large Area,Meta Only
08f2759301db539d0356df261133ee31,Palatine Farmers' Market,farmers_market,['grocery_store' 'shopping'],meta,-88.0469241,42.1128041,42.11304708311865,-88.04693287226836,,27.028177901544527,Large Area,Meta Only
08f2664c1e12970c0346c7c9976d89f7,SEPHORA,cosmetic_and_beauty_supplies,['makeup_artist'],meta,-87.6228929,41.8979769,41.89801024557562,-87.62392505976467,,85.5084407402495,Standalone,Meta Only
08f44d070acc6b2c03d8c7777106600f,Louis Vuitton,fashion_accessories_store,['boutique' 'shopping'],Microsoft|meta,-79.9329453,32.7809107,32.7809479845075,-79.93245083573731,,46.41141598738016,Standalone,Both
